qstr_Breaking_camp...|Lager wird abgebrochen ...
qstr_Note_Egil:_Egil_turned|Hinweis Egil: Egil wandte sich gegen Euch als Ihr Euch dazu entschieden habt, den Brief den West Sachsen zu geben. Er griff Euch an, und Ihr musstet ihn töten. Ihr lasst ihn nicht einmal von Euren Männer begraben.
; qstr_Shortly_after_landin|Shortly after landing, as if he had been watching you, a messenger appears riding towards you. You notice the dark circles under his eyes, as if he went days without sleeping, and his horse seems to be on the verge of exhaustion. Finally, he takes a breath and exclaims:^^
; qstr_{s4}_{playername}_my|{s4}'{playername}, my jarl, Rathbarth Ragnarsson, has dispatched messengers to find you after merchants brought news that you had left Frankia for Englaland. He wants you to join his brother Halfdan in Readingum, as he is leading a final assault on West Seaxe. We advanced from East Engle with a great army and set up a fortified camp at Readingum. We plundered the area, but Aethelred and Aelfred gathered the fyrd in Witan Ceaster and attacked us. Luckily, they were repelled.^^Now the king of West Seaxe, assisted by his brother Aelfred, has retreated west, to Aescesdun, where they gather a huge army to fight us. Your help is needed, as Halfdan wants to go against them before they get more men. We fear that this will be the mother of all battles! If we win, West Seaxe will be ours!^^Jarl Rathbarth told me especially to mention that Sven Bull Neck is with Aelfred and fights in his army.'
; qstr_{s4}_{playername}_my_|{s4}'{playername}, my ealdorman, Aelfred Aethelwulfing, has dispatched messengers to find you after merchants brought news that you had left Frankia for Englaland. He wants you to join him as soon as possible. He is moving around the kingdom to gather an army as the Danish advance against West Seaxe.^^They advanced from East Engle with a great army and set up a fortified camp at Readingum, from where they plundered the area. Our king, Aethelred, and Aelfred gathered the Fyrd in Witan Ceaster and attacked the Danish in Readingum, but they were repelled. Now they are in Aescesdun gathering men and preparing to face the Danish again! God protect us, we will go against the Danish with the entire fyrd! If this fails, West Seaxe will be lost with the rest of Englaland!^^Ealdorman Aelfred told me especially to mention that Sven Bull Neck is with Halfdan and fights in his army.'
qstr_You_met_Orm_the_Blac|Ihr traft auf Orm den Schwarzen im Einzelkampf und habt ihn getötet.
qstr_Your_party_has_gaine|Eure Armee gewinnt an Moral.
qstr_You_met_{s1}_in_sing|Ihr traft auf {s1} im Einzelkampf und habt gewonnen.
qstr_This_warrior|Dieser Krieger
qstr_The_enemy_party_has_|Die feindliche Armee hat Moral verloren.
qstr_You_met_{s1}_in_singl|Ihr traft auf {s1} im Einzelkampf und habt verloren.
qstr_Your_party_has_lost_|Eure Armee verliert an Moral.
; qstr_The_low_morale_of_yo|The low morale of your army has led some men to conspire against you. One of your warriors committed the imprudence of talking too much while you could hear him. Feeling exposed, the warrior has insulted you publicly and has challenged you to a duel for leadership... A duel to the death.
qstr_The_problems_of_mora|Die Moralprobleme Eurer Armee haben einen Eurer Krieger dazu getrieben sich selbst als ein Kandidat vorzuschlagen, um Euch zu ersetzen. Er hat Euch zu einem Duell auf Leben und Tod herausgefordert...
qstr_Morale_is_so_low_a_w|Die Moral ist so gering, dass ein Krieger Euch beleidigt, als Ihr an ihm vorbeigeht. Er beschuldigt Euch, ein schlechter Anführer zu sein. Dann fordert er Euch zum Duell. Der Sieger erhält Euren Posten.
; qstr_The_Assembly_has_tak|The Assembly has taken up your case. You must quickly go to the assembly near {s3}, lest they decide against you.
; qstr_Note_Reginhard:_Regin|Note Reginhard: Reginhard betrayed you before the Assembly, and you had to kill him in a holmgang decreed by the Assembly.
; qstr_Note_Egil:_Reginhard_be|Note Egil: Reginhard betrayed you before the Assembly, but you forgave him. However, Egil did not accept your decision, and you had to kill him in a holmgang by the laws of the Assembly.
qstr_The_holmgang_is_over|Der Holmgang ist vorbei. Es ist Zeit, Asbjorn in {s3} zu treffen.
; qstr_You_remember_that_yo|You remember that you need to bring Ragnar's seax for this mission.
; qstr_Before_you_left_for_|Before you left for your trip to Frankia, someone sent a messenger to inform you that someone will meet you at a place called Boar Grove, near {s3}. There you must find the house of the lumberjack.
; qstr_Through_the_trees_yo|Through the trees, you can barely see a hut. The trees sough gently in the wind, and some birds sing, but you see no one.
qstr_Through_the_trees_you|Durch die Bäume könnt Ihr gerade so die Hütte erkennen, die jetzt leer ist, wo Ihr Beda trefft.
qstr_You_arrive_at_a_deep|Ihr erreicht einen dichten Wald.
qstr_Through_the_trees_you_|Durch die Bäume könnt Ihr gerade so die Hütte erkennen, die jetzt unbewohnt ist, nachdem Ihr den alten Held getötet habt, der einst hier lebte.
qstr_You_stay_hidden_watc|Ihr haltet Euch versteckt, beobachtet das Lager aus der Ferne und geht sächsischen Aussichtspunkten und Patrouillen aus dem Weg.
qstr_You_stay_hidden_watch|Ihr haltet Euch versteckt, beobachtet das Lager aus der Ferne und geht dänischen Aussichtspunkten und Patrouillen aus dem Weg.
; qstr_Aelfred_gives_the_or|Aelfred gives the order, and horns call men outside the camp. You follow the brother of the king of West Seaxe outside, where his men have formed the ranks. They are led by officers and waiting.^^There is a tense silence filled with nerves and worry. The Saxon warriors know that the fate of West Seaxe hangs by a thread. If they fall defeated, nothing will keep the Danish from plundering their houses and enslaving their families.
; qstr_Halfdan_gives_the_or|Halfdan gives the order, and horns call men outside the camp. You follow Ragnar's son outside, where his men have formed ranks. They are led by officers and waiting.^^The Danish warriors are animated and some even joke, motivated by the recent victory over their enemies, but all voices fall silent when Halfdan arrives before them.
qstr_West_Seaxe|West-Seaxe
qstr_Danish|Dänisch
; qstr_You_notice_that_Aelf|You notice that Aelfred is coming towards you. It was he who saved the day with his charge when the Danish tried to gain the hill. Without that improvisation, probably you would all be dead now...
; qstr_Halfdan_walks_toward|Halfdan walks towards you. You see him covered in blood, but he is smiling. He knows that without you and your army, he would have lost that battle.
qstr_Your_followers_decid|Ihre Anhänger beschlossen, Euch zu verlassen.
qstr_You_chose_to_dispers|Sie wählten Ihre Anhänger zu zerstreuen.
qstr_You_notice_that_a_gr|Sie merken, dass sich Ihnen eine Gruppe von Männern nähert. Diese wird von einem großen Mann angeführt. Das muss Eadric sein, der von Aelfred erwähnte Mann.
qstr_You_notice_that_a_gro|Sie merken, dass sich Ihnen eine Gruppe von Männern nähert. Diese wird von einem großen Mann angeführt. Das muss Arnvid sein, der von Halfdan erwähnte Mann.
qstr_You_aren_t_ready_to_|Ihr seid nicht bereit Sven gegenüberzutreten. Kehrt zurück, wenn Ihr über hundert Männer in Eurem Schildwall habt.
; qstr_The_abbot_of_Finian_n|The abbot of Finian, near {s3} in Eriu, has asked for your presence. Apparently, he has an important mission to offer. He is offering 1000 peningas just for you to appear in front of him.
; qstr_The_other_two_champi|The other two champions have followed Morrigan to her lair and sent a messenger to inform you where they are. They await your arrival before attacking. The moment is here to go to Morrigan's lair.
; qstr_Near_the_end_of_the_|Near the end of the world, where the waves beat the cliffs and the albatrosses nest, there is a little rough valley, barely visible from a distance. A cave is hidden there. You cannot control it; Morrigan song resonates in your head, and you feel your lips move to it. It breathes magic...^^Far from the cave, half hidden by rocks, you can distinguish the two champions with a few men. They seem to have left the bulk of their army hidden elsewhere to avoid attracting attention. They wait.^^But when you take a step toward them, the song intensifies. This time, it is not in your mind... Morrigan's beasts attack you!
; qstr_The_battle_was_tough|The battle was tough and pushed you near the valley. Your men stayed behind, protecting the rear, because they realized numbers are useless in the narrow valley. It is time to seek the support of the other champions and move towards Morrigan before her forces reorganize.
; qstr_The_mystery_of_Morri|The mystery of Morrigan having been solved, it seems that the fog dissipates and the world regains its colors. You leave behind the cave and the terror.
; qstr_Mael_Bresail_s_farm_|Mael Bresail's farm is the typical Irish farmhouse -- a large main house with smaller buildings about it, all surrounded by a palisade.
; qstr_You_settle_into_the_|You settle into the seat of honor in the great hall of the house. The best mead and wine brought from Frankia are at your disposal. The tastiest dishes fill the room with their aroma and delight your palate. It is one of the best symbels you've ever enjoyed. Your men have fun, looking happy. The hours pass without you noticing.^^Suddenly, you realize that all the women have left the room. What is happening? A burning smell irritates your nostrils. When you investigate its origin, you see fire in the walls of the house. Someone yells, 'Fire!' The alarm is raised, but when one of your men rushes to the entrance, he finds the door barred from outside.^^Mael Bresail has betrayed you and tries to burn you inside. If you do not hurry to find a way out, everyone will die soon, suffocated by smoke and burned by fire.
; qstr_You_have_managed_to_|You have managed to escape the fire trap set by Mael Bresail to kill you, but it seems that you're not safe yet...
; qstr_Mael_Bresail_had_bet|Mael Bresail had betrayed you, but you escaped from the flames of his hall and defeated the men who had wanted to kill you. Now, this site only brings bad memories to mind.
qstr_Part_of_your_food_wa|Ein Teil Eurer Nahrung wurde zerstört.
qstr_Your_men_think_that_you_are_a_s|Eure Männer glauben, dass Ihr ein starker Anführer seid.
; qstr_While_your_messenger|While your messengers try to negotiate with the enemy raiders, a squad of your men appears by chance, and a battle begins. Your men manage to destroy the looters and fix the problem, but at the cost of some lives.^^Your casualties: {s8}^^Enemy casualties: {s10}
; qstr_The_enemy_raiders_ac|The enemy raiders accept the deal, take the money, and promise not to attack your supplies for some weeks.
; qstr_The_raiders_take_the|The raiders take the money, kill the messengers, and continue to damage your supply routes.
qstr_You_don_t_have_enough_s|Ihr habt nicht genügend Silber. Ihr ordnet die Rationierung von Wasser an und lasst Brunnen graben.
qstr_the_enemy_thinks_rei|der Feind denkt, dass Verstärkungen bald eintreffen werden.
qstr_fear_and_discontent_|Angst und Unzufriedenheit verbreiten sich im Inneren.
; qstr_he_likes_the_wife_of|he likes the wife of his former master, and he will fight by your side if you give her to him after the conquest.
qstr_the_enemy_s_morale_i|die gegnerische Moral ist niedrig, und wir sollten angreifen.
qstr_wergild_is_paid.|Wergeld wird bezahlt.
qstr_The_wergild_is_paid_|Das Wergeld wird bezahlt und Eurer Krieger ausgepeitscht.
qstr_Your_men_think_you_r|Eure Männer glauben, Ihr seid herzlos und fürchten Euch.
qstr_You_feel_happy.|Du fühlst Euch glücklich.
qstr_You_feel_good_for_he|Ihr fühlt Euch gut dabei zu helfen.
qstr_New_troops_join_your|Neue Truppen schließen sich eurem Gefolge an.
qstr_The_bandits_leave_an|Die Banditen entfernen sich, wütend.
qstr_Your_men_kill_all_th|Eure Männer töten alle Räuber.
qstr_At_night_some_of_you|In der Nacht machen sich einige Eurer Männer mit Freudenmädchen davon.
; qstr_Your_enemies_appreci|Your enemies appreciate your pity. Perhaps this will help you when you negotiate their surrender.
; qstr_You_know_that_in_the|You know that in the coming days, dozens of children, women and elderly will die before your eyes, languishing from hunger.
; qstr_Your_officer_seems_u|Your officer seems upset.
qstr_Your_men_think_that_you_are_a_v|Eure Männer glauben, dass Ihr ein sehr starker Anführer seid.
; qstr_Your_officer_seems_h|Your officer seems happy.
; qstr_The_wife_is_pregnant|The wife is pregnant, and the officer asks for a high compensation. To avoid rumors and problems, you pay.
; qstr_{s1}_of_the_{s2}.|{s1} of the {s2}.
; qstr_A_messenger_approach|A messenger approaches, galloping. He stops in front of you, takes a breath and shouts:^^'I have returned with the answer to your message. Your proposal has been accepted and {s10} has been released from captivity.'
; qstr_A_messenger_approache|A messenger approaches, galloping. He stops in front of you, takes a breath and shouts:^^'I have returned with the answer to your message. Your proposal was not accepted and {s10} will remain captive. Here you have your money back.'
; qstr_A_messenger_approaches|A messenger approaches, galloping. He stops in front of you, takes a breath and shouts:^^'I have returned with the answer to your message. {s9} will meet you and will follow you as soon as possible.'
; qstr_A_messenger_approaches_|A messenger approaches, galloping. He stops in front of you, takes a breath and shouts:^^'I have returned with the answer to your message. {s9} says you're not the one to give orders.'
; qstr_A_messenger_approaches_g|A messenger approaches, galloping. He stops in front of you, takes a breath and shouts:^^'I have returned with the answer to your message. {s9} says that it would hardly be proper as you don't have authority for it.'
; qstr_A_messenger_approaches_ga|A messenger approaches, galloping. He stops in front of you, takes a breath and shouts:^^'I have returned with the answer to your message. {s9} has better things to do than follow your orders.'
; qstr_A_messenger_approaches_gal|A messenger approaches, galloping. He stops in front of you, takes a breath and shouts:^^'I have returned with the answer to your message. {s9} is busy and cannot follow orders at this time.'
; qstr_A_messenger_approaches_gall|A messenger approaches, galloping. He stops in front of you, takes a breath and shouts:^^'I have returned with the answer to your message. {s9} will go to {s10} as soon as possible.'
; qstr_A_messenger_approaches_gallo|A messenger approaches, galloping. He stops in front of you, takes a breath and shouts:^^'I have returned with the answer to your message.: {s9} will go patrol around {s10} as soon as possible.'
; qstr_A_messenger_approaches_gallop|A messenger approaches, galloping. He stops in front of you, takes a breath and shouts:^^'I have returned with the answer to your message. {s9} will go patrol around {s10} as soon as possible.'
; qstr_A_messenger_approaches_gallopi|A messenger approaches, galloping. He stops in front of you, takes a breath and shouts:^^'I have returned with the answer to your message. {s9} will go to besiege {s10} as soon as possible.'
; qstr_A_messenger_approaches_gallopin|A messenger approaches, galloping. He stops in front of you, takes a breath and shouts:^^'I have returned with the answer to your message. {s9} says you're not one to give orders.'
; qstr_A_messenger_approaches_galloping|A messenger approaches, galloping. He stops in front of you, takes a breath and shouts:^^'I have returned with the answer to your message. {s9} says that would hardly be proper as you don't have authority for it.'
