str_yes|Ja.
str_you_fought_well_at_town_fight|Ah! Ihr seid wach. Ich habt Euch da ganz schön einen eingefangen. Aber es gibt gute Nachrichten! Wir haben sie besiegt – und Ihr habt ganz schön viel Schaden angerichtet, bevor es Euch erwischt hat. Wenn Ihr nicht gewesen wärt, wäre es sehr schlecht um uns bestellt gewesen. Ich bin Euch dankbar …
str_you_wounded_at_town_fight|Ah! Ihr seid am Leben, was für eine Erleichterung! Ihr habt Euch da ganz schön einen eingefangen. Ich bin mir nicht sicher, ob Ihr einen von ihnen erwischt habt, aber zum Glück konnte sie der Rest von uns besiegen. Wir müssen Euch zu einem Wundarzt bringen …
str_you_fought_well_at_town_fight_survived_answer|Lasst jeden Schurken den Namen {playername} zu fürchten lernen!
str_you_fought_normal_at_town_fight_survived_answer|Ah, nun, ich bin stolz darauf, dass ich mit dem Rest fertig bin ...
str_you_fought_bad_at_town_fight_survived_answer|Naja, wisst Ihr, ich wollte gerade einen niederschlagen, als ich in einer Blutpfütze ausrutschte …
str_you_fought_well_at_town_fight_answer|Nun gut. Ihr habt wohl nichts dagegen, für eine gute Sache einen Schlag einzustecken.
str_you_wounded_at_town_fight_answer|Richtig. Ich nehme an, ich sollte vorsichtiger sein.
str_unfortunately_reg0_civilians_wounded_during_fight_more| Leider wurden ungefähr {reg0} meiner Kumpel verwundet. Ich sollte mich um sie kümmern gehen.
str_unfortunately_reg0_civilians_wounded_during_fight| Leider hat einer meiner Kumpel einen ziemlich bösen Schlag einstecken müssen. Ich sollte besser nachsehen gehen, wie es ihm geht.
str_also_one_another_good_news_is_any_civilians_did_not_wounded_during_fight|Also, auf unserer Seite wurde niemand schwer verwundet. Das sind gute Nachrichten!
str_merchant_and_you_call_some_townsmen_and_guards_to_get_ready_and_you_get_out_from_tavern|Ihr verlasst die Schänke und geht auf die Straße hinaus. An jeder Straßenecke stehen nervös aussehende junge Männer. Ihr erkennt, dass sie Dolche und Knüppel unter ihrer Kleidung verbergen, und als Ihr an ihnen vorbeigeht, spürt Ihr in den kurzen Blicken, die sie Euch zuwerfen, eine Mischung aus Angst, Erwartung und Stolz. Ihr hofft, dass Eure Feinde von diesen gar zu offensichtlichen Verschwörern nicht alamiert wurden, und prüft ein letztes Mal Eure Waffen, bevor das Kämpfen beginnt.
str_town_fight_ended_you_and_citizens_cleaned_town_from_bandits|Die wenigen überlebenden Banditen zerstreuen sich in die engen Gassen der Stadt und werden einer nach dem anderen von der wütenden Stadtbevölkerung niedergemacht. Der Händler und Ihr überzeugt Euch von der Vollständigkeit Eures Sieges und dass die Verwundeten versorgt werden, bevor Ihr Euch zu seinem Haus begebt, und die Ereignisse des Tages Revue passieren lasst.
str_town_fight_ended_you_and_citizens_cleaned_town_from_bandits_you_wounded|Der letzte Schlag lässt Euch bewegungsunfähig zu Boden fallen und gegen die Ohnmacht kämpfen. Schon bald ist auf der Straße statt Kampfeslärm der Jubel der Städter zu hören, und Ihr erkennt mit Erleichterung, dass Eure Seite den Kampf gewonnen hat. Schon bald heben Euch Eure Freunde vom Boden auf, und Ihr lasst Euch in einen seeligen Schlaf fallen. Stunden später wacht Ihr im Haus des Händlers auf.
str_seabattle_tutorial|Ihr seid Kapitän eines Schiffes! Ihr müsst die Anweisungen geben:^>'Hoch' und 'Runter' Tasten ändern die Ruderstärke.^>'Rechts' und 'Links' ändern die Ruderrichtung^>'Eingabe' refft oder setzt das Segel.^>'Rück' ändert die Blickrichtung. ^^Haltet die Tasten nicht, sondern drückt mehrere Male, bis ihr den gewünschten Befehl gegeben habt. In der rechten, oberen Ecke könnt ihr den letzten gegebenen Befehl und andere Informationen über das Schiff sehen.
str_bodo_animos|Bodo brüllt, '{playername}! Kämpft! Ich bin an eurer Seite!'
; str_journey_to_reyvadin|You have reached Grantebrycge in the land of the East Engle. When you arrive, you see that people look at you with apprehension, and they reach for their weapons.^^Here live the Angles under the rule of Annan Eningen. This land doesn't know peace because the Angles of Mierce invade and destroy, killing people and kings and claiming the country as their own. Annan Ening is a Christian, a good Christian, but he has seen his brothers, kings before him, die under the sword of Penda, king of Mierce, and Annan hungers for revenge.
; str_journey_to_praven|Your steps lead you to the cold North. This country, known as Alt Clut, is big, hard and it has a landscape dominated by forests. Alt Clut is populated by Britons, strong and tough people accustomed to using both the plow and the spear.^^Here rules Bili ap Neithon, a descendant of an ancient lineage. Bili is nearly 50 years old, but he still is a hard and strong man.
; str_journey_to_jelkala|Welcome to Clochair, in the green land of Ireland. You are in the young Kingdom of Airgialla, forged in the heat of the sword when three warlike princes, called the Three Collas, made a conquest of a great part of Ulaid. Airgialla knows only war, because of a constant struggle with the Kingdom of Ulaid.^^In these days, it's ruled by Mael Odhar Caech, arrogant and bellicose. His reputation keeps enemies away, but what will happen when he dies?
; str_journey_to_sargoth|You get to Cantwaraburh, in Centware country, where Eadbald Aethelberthing rules. Their ancestors were Brytenwaldas, but he has lost the title that now holds a master of the North: Oswald of Bernaccia. Eadbald has good partnerships with the most powerful lords of Britain and even with the Franks. His country does not suffer from the war with regularity, the land is peaceful and prosperous. It is a good place to buy a piece of land, marry and see your children grow... for now.
; str_journey_to_tulga|You came by ship, skirting the cliffs where the Gwynedd highlands meet the sea. Soon you distinguish Din Gonwy, capital of the kingdom. Walking you see that the streets are dark and silent. The great king-warrior Cadwallon died two years ago, and Gwynedd is still mourning his death. He left a son, Cadwaladr, but he is still a child of three years old. The hard men of Gwynedd, considered among the strongest in Britain, have been summoned to war this year. They cry and wait, keeping sharp swords.^^There is a new master, Cadfael Cadomedd, which has displaced the son of Cadwallon and his mother's power. He says that they have returned to the glory days...
; str_journey_to_shariz|You are in Dun Iasgach, a powerful town in the Kingdom of Mumain in the south of Ireland. It is a rich land, with great forests and rivers teeming with fish. It could be a perfect place to live, but Ireland is a land of war, where clans fight for any reason, stealing cattle and women and killing the young warriors in fratricidal struggles.^^Mumain is ruled by Failbhe Flann mac Aedh. He is ambitious and wants more land and a weakened Kingdom of Laigin.
str_lost_tavern_duel_ordinary|Getroffen vom letzten Schlag des Trunkenbolds sinkt Ihr zu Boden. Die Wut Eures Angreifers scheint augenblicklich nachzulassen. Er lässt sich in einen Stuhl fallen, starrt Euch an, und flüstert fast bedauernde Worte. Ein paar Gäste überreden ihn zum Aufstehen und bugsieren ihn aus der Tür. Ein anderer Gast versorgt Eure Wunden, und so seid Ihr schon bald wieder auf den Beinen, wackelig zwar, aber am Leben.
str_lost_tavern_duel_assassin|Getroffen vom letzten Schlag Eures Angreifers sinkt Ihr zu Boden. Langsam und bedächtig kniet er sich neben Euch hin und zieht ein langes Messer unter seiner Kleidung hervor. Bevor er Euch aber den Rest geben kann, gibt ihm der Schankwirt, der offensichtlich seinen Mut wiedergefunden hat, eins über den Schädel. Er verliert sein Gleichgewicht und stürmt dann zur Tür, als er merkt, dass er seine Gelegenheit verwirkt hat, Euch zu töten. Er kann entkommen. Währenddessen verbinden die anderen Gäste der Schänke Eure Wunden und schleppen Euch in ein Hinterzimmer, damit Ihr Euch erholen könnt.
str_lost_startup_hideout_attack|Kurze Zeit später erlangt Ihr das Bewusstsein wieder … und seht, dass die Entführer ihren Sieg mit einem Fass Wein feiern. Anscheinend haben sie dabei ein paar grundlegende Sicherheitsmaßnahmen vergessen haben, wie zum Beispiel, Euch die Hände und Füße zu fesseln. Ihr könnt Euch davonschleichen. Dem unbändigen Treiben hinter Euch nach zu urteilen, habt Ihr noch etwas Zeit, einige Mitstreiter mehr zu versammeln und einen neuen Angriff zu starten.
str_as_you_no_longer_maintain_an_independent_kingdom_you_no_longer_maintain_a_court|Da Ihr nicht mehr über ein eigenständiges Reich herrscht, könnt Ihr keinen Hof mehr unterhalten.
str_rents_from_s0|Pacht von {s0}:
str_tariffs_from_s0|Zölle von {s0}:
str_general_quarrel|Wir fanden uns auf der Gegenseite vieler Streitigkeiten der Jahre und so bildete sich böses Blut zwischen uns.
str_the_steppes|Die Steppe
str_the_deserts|Die Berge
str_the_tundra|Der dichte Wald
str_the_forests|Die Wälder
str_the_highlands|Das Hochland
str_the_coast|Die Küste
str_my_lady_not_sufficient_chemistry|Meine Dame, da gibt es noch andere Mädchen, die mein Herz erobert  haben.
str_my_lady_engaged_to_another|Meine Dame, wie ich verstehe, seit Ihr mit einem anderen verlobt.
str_attempting_to_rejoin_party|Versuche der Gruppe wieder beizutreten,
str_separated_from_party|Getrennt von der Gruppe,
str_whereabouts_unknown|Aufenthaltsort unbekannt.
str_leading_party|führt eine Armee an
str_court_disbanded|Da Ihr nicht mehr über ein eigenständiges Reich herrscht, wurde Eurer Hof aufgelöst
str_i_am_not_accompanying_the_marshal_because_will_be_reappointment|Ich begleite den Marschall nicht, da ich erwarte in kurzer Zeit einen Anderen vom König in dieser Position eingesetzt zu sehen.
str_persuasion_opportunity|Überzeugungsmöglichkeit.^Mindestbeziehung für automatischen Erfolg: {reg4}^Derzeitige Beziehung: {reg5}^Chance auf Erfolg: {reg7}^Chance {reg9} Beziehungspunkt(e) zu verlieren: {reg8}
str_marshal_warning|Ihr folgt {s1} nicht. Doch ihr werdet keine Strafe erleiden.
str_follow_army_quest_brief_2|Eure Mission ist abgeschlossen. Ihr könnt der Armee von {s9} weiterhin folgen, wenn Ihr weitere Anweisungen wünscht.
str_greetings_playername__it_is_good_to_see_you_i_hope_that_you_have_had_success_in_your_efforts_to_make_your_name_in_the_world|Ich bin froh, dich zu sehen. Ich vertraue darauf, dass du da draußen Erfolg hast und deinen Namen in der Welt machst
str_minister_advice_select_fief|Dürfte ich vorschlagen {s4} zu wählen, da die Vasallen darauf spekuliert haben?
str_minister_advice_select_fief_wait|Dürfte ich vorschlagen zu warten, bis ihr einen Marschall benannt habt, was den Vasallen Zeit geben wird zu entscheiden, wen sie unterstützen wollen?
str_minister_advice_fief_leading_vassal| {s4} hat bereits von {reg4} Eurer Vasallen Unterstützung erhalten.
str_unassigned_center|(Nicht zugewiesen)
str_s43_also_you_should_know_that_an_unprovoked_assault_is_declaration_of_war|{S43} Als Herrscher deines Reiches, solltest du wissen, daß dieser Angriff eine Kriegserklärung darstellt.
str_missing_after_battle|Nach dem Kampf vermisst
str_retrieve_garrison_warning|^(Truppen können nicht abgerufen werden, wenn diese Festung an jemand anderen vergeben wird)
str_s12s15_declared_war_to_control_calradia|{s12}{s15} könnte {s16} ohne Vorwand angreifen, als Versuch ihr Einflussgebiet über das gesamte Land auszudehnen.
str_offer_gift_description|Meine Stellung durch ein Geschenk verbessern.
str_resolve_dispute_description|Verbessert meinen Stand durch Schlichtung eines Streits.
str_feast_wedding_opportunity|Wenn {reg59?Eure Verlobte und ihre:Eurer Verlobter und seine} Familie zugegen sind, dann könnte das die Gelegenheit zur Heirat sein.
str_s21_the_s8_declared_war_as_part_of_a_bid_to_conquer_all_calradia|{s21}. {s8} hat den Krieg erklärt, mit dem Ziel das gesamte Land zu erobern.
str_master_vinter|Winzermeister
str_s54_has_left_the_realm|{s54} hat das Reich verlassen.
str_enterprise_s5_at_s0|Nettoumsatz von {s5} in {s0}
str_bread_site|Mühle
str_ale_site|Brauerei
str_tar_kiln|Teer Ofen
str_wine_cellar|Keller mit importiertem Wein aus dem Frankenland
str_tool_site|Eisenhütte
str_leather_site|Gerberei
str_linen_site|Leinenweberei
str_wool_cloth_site|Wollweberei
str_velvet_site|Färberei
str_under_sequestration|Beschlagnahmt
str_describe_secondary_input| Darüber hinaus müsst Ihr auch {s11} für {reg10} Pfennige erwerben.
str_profit|Gewinn
str_loss|Verlust
str_server_name_s0|Servername: {s0}
str_map_name_s0|Kartenname: {s0}
str_game_type_s0|Spieltyp: {s0}
str_remaining_time_s0reg0_s1reg1|Verbleibende Zeit: {s0}{reg0}:{s1}{reg1}
str_you_are_a_lord_lady_of_s8_s9|{reg59?Fürstin:Fürst} von {s8}.^{s9}
str_you_are_king_queen_of_s8_s9|Königreich: {s8}.^{s9}
str_you_are_a_lord_lady_of_s18_s19|{reg59?Fürstin:Fürst} von {s18}.^{s19}
str_you_are_king_queen_of_s18_s19|Königreich: {s18}.^{s19}
str_for_s4|für {s4}
str_cancel_fiancee_quest|Vielleicht, so ihr gewillt seid, zieht ihr es in Betracht, diese Sache zu erledigen, nach der ich so vermessen fragte. Es steht mir natürlich nicht zu, euch mit Aufgaben zu beauftragen.
str_a_duel_request_is_sent_to_s0|Eine Herausforderung zum Duell wurde gesendet an {s0}.
str_s0_offers_a_duel_with_you|{s0} fordert Euch zum Duell.
str_your_duel_with_s0_is_cancelled|Euer Duell mit {s0} wurde abgebrochen.
str_a_duel_between_you_and_s0_will_start_in_3_seconds|Ein Duell zwischen Euch und {s0} startet in 3 Sekunden.
str_you_have_lost_a_duel|Ihr habt ein Duell verloren.
str_you_have_won_a_duel|Ihr habt ein Duell gewonnen!
str_server_s0|[!]: {s0}
str_disallow_ranged_weapons|Verbietet Fernwaffen
str_ranged_weapons_are_disallowed|Fernwaffen sind nicht erlaubt.
str_ranged_weapons_are_allowed|Fernwaffen sind erlaubt.
str_duel_starts_in_reg0_seconds|Duell startet in {reg0} Sekunden...
str_circunvalation_none|>>Es gibt es keine Blockade. Männer und Vorräte können praktisch nach Belieben passieren.^^
str_water_poison_im|Ihre Männer könnten tote Ratten in die Brunnen und andere Wasserquellen werfen. Das würde die Bevölkerung und die Garnison krank machen.
str_cattle_kill_im|Eure Männer könnten das Vieh töten, dass sie hier und in den nahe gelegenen Dörfern gefunden haben. Das würde ihre Nahrungsreserven drastisch reduzieren. Darüber hinaus würde dies das Ansehen und Einkommen des Herrn dieses Ortes verringern.
str_people_morale_im|Ihre Männer könnten Gerüchte verbreiten, die Leichen einiger Einheimischer nachts auf dem Platz zurücklassen um so Zwietracht unter den Verteidigern zu säen. Einige Männer aus ihrer Garnison könnten sich uns anschließen.
str_food_burn_im|Eure Männer könnten Ihre Kornkammern niederbrennen. Dies würde Ihre Nahrungsvorräte verwüsten.
str_give_order|In Auftrag geben
str_no_money|Ihr habt nicht genug Geld!
str_hold|Werft den Anker und haltet hier!
str_skirmish|Gefecht mit dem Feind!
str_board|Nähert Euch und entert das gegnerische Schiff!
str_numberofships|{reg60}
str_retreat_in_face_of_enemy|Sie lösen sich, um eine bessere Position zu finden, um den Feind zu treffen. ^ Ihre Soldaten murren. ^ Einige flüstern sogar über Ihren offensichtlichen Mangel an Mut, wenn sie denken, dass Sie sie nicht hören können.
str_retreat_from_fortress|Ihr gebt euren Truppen den Befehl zum Auflösen.^Jeder Mann bewegt sich außerhalb der Schussreichweite der Bögen und der Feind zerstört die Belagerungsleitern.^Eure Truppen sind über eure Entscheidung verärgert; nach all den Anstrengungen, die es gekostet hat, in diese Position zu gelangen sind sie unzufrieden, das Land in feindlicher Hand zu lassen.
str_retreat_not_dead|Sie beauftragen Ihre Truppen, sich zu lösen und die taktische Situation zu beurteilen,die hoffnungslos zu sein scheint. ^ Ihr Trupp hat diese Schlacht verloren; Ihre Truppen nörgeln lautstark über Ihren Mangel an Nerven, und einige stellen offen Ihre Führung in frage, die erfordert, dass Sie Maßnahmen ergreifen, um Disziplin in Ihren Reihen wiederherzustellen.\n
