; qstr_Breaking_camp...|Breaking camp...
; qstr_Eventually_the_man_d|Eventually the man dies in torment while your soldiers try to force him to pay his taxes. His last words were, 'Boys, beyond, where you are, I am coming.' The city is shocked by his death, and many people complain about you in {s4}.
; qstr_The_man_seems_calmed|The man seems calmed by your words. You see in his eyes an infinite sadness, but he promises to pay his taxes in the memory of his boys.
; qstr_Your_renown_with_you|Your renown with your warriors suffers, as does your money bag, but the people of {s4} seem happy with the money you have given them.
; qstr_Your_men_push_the_cr|Your men push the crowd, injuring some. Suddenly, the people turn against them, causing some casualties before being dispersed.
; qstr_You_run_through_the_|You run through the back door while the crowd calls you a coward and miser, even as they continue to beg for money.
; qstr_People_think_the_mea|People think the measure is fair to both.
; qstr_The_tree_owner_is_no|The tree owner is not very happy and criticizes you when you leave, generating unfavorable rumors.
; qstr_The_man_who_cut_the_|The man who cut the trees is not very happy and criticizes you when you leave, generating unfavorable rumors.
; qstr_People_in_{s4}_are_h|People in {s4} are happy because you responded to their needs.
; qstr_People_in_{s4}_are_u|People in {s4} are unhappy with you because you don't respond to their needs.
; qstr_People_in_{s4}_appre|People in {s4} appreciate your help, but were expecting more.
; qstr_Although_the_local_l|Although the local leader supports your position in {s4}, your men think it is a disgrace to have the boy among them.
; qstr_Although_the_local_le|Although the local leader pays you well, your men think it is a disgrace to have the boy among them.
; qstr_The_local_leader_lev|The local leader leverages his position to undermine yours in {s4} as punishment for you not accepting his son.
; qstr_During_the_night_at_|During the night, at a fire ceremony and dance, the girl is burned as an offering to the gods.
; qstr_People_superstitious|People, superstitious, are angry with you. Some time later, you find out that another girl was sacrificed.
; qstr_The_physician_you_se|The physician you send manages to save some lives and prevent the epidemic from spreading to other areas.
; qstr_The_epidemic_wipes_o|The epidemic wipes out the population of the village. Although your measures prevented anyone from spreading the disease beyond {s4}, many lost relatives who lived in the village. The rumor spreads that you are a murderer.
; qstr_{s4}_is_a_Christian_|{s4} is a Christian settlement, and everyone obeys your orders quickly. Somehow it seems that your prayers are successful and the girl and the child survive.
; qstr_{s4}_is_a_pagan_sett|{s4} is a pagan settlement, and nobody obeys your orders. It seems that your prayers weren't necessary, for the girl and the child survive.
; qstr_{s4}_is_a_Christian_s|{s4} is a Christian settlement, and nobody obeys your orders. It seems that the wise-woman wasn't necessary, for the girl and the child survive.
; qstr_{s4}_is_a_pagan_settl|{s4} is a pagan settlement, and everyone obeys your orders quickly. Somehow, it seems that wise-woman's support let the girl and the child survive.
; qstr_Your_men_are_happy_t|Your men are happy that you are concerned about their welfare, especially when they make sacrifices for you.
; qstr_The_sum_is_enough_fo|The sum is enough for the local lord to fulfill his duty, but it is not munificent. The man is grateful, but not happy.
; qstr_Your_men_are_angry_t|Your men are angry that you do not back a man who spent his money to serve you. They fear that your stinginess will affect them next.
; qstr_The_rumor_that_you_r|The rumor that you refuse to buy the relic leads the faithful to curse your name.
; qstr_The_monk_is_removed_|The monk is removed from your presence, distressed. In {s4}, the inhabitants are happy that you respect their beliefs.
; qstr_The_relic_causes_a_s|The relic causes a stir among the faithful, who flock to see it and praise your name for its purchase.
; qstr_The_monk_is_happy_to|The monk is happy to use the relic to evangelize the pagans of {s4}. They, on the other hand, curse your name.
; qstr_The_rich_woman_s_hus|The rich woman's husband, who happens to be a large landowner in {s4}, becomes very angry with you and damages your reputation.
; qstr_The_poor_people_in_{|The poor people in {s4} get angry when you give the child to a rich woman without making a sincere determination.
; qstr_Everyone_in_{s4}_thi|Everyone in {s4} thinks you've been wise and just to find the mother of the child and return the baby, while punishing the liar without being influenced by her wealth.
; qstr_The_crowd_kills_the_|The crowd kills the rich woman. The rich woman's husband, who happens to be a large landowner in {s4}, becomes very angry with you and damages your reputation.
; qstr_The_poor_people_in_{s|The poor people in {s4} get angry when you give the child to a rich woman without making a sincere determination. Some disturbances ending in violence occur. During the fighting, many citizens die before retiring, but you also lose some men.
; qstr_The_people_of_{s4}_d|The people of {s4} do not want their children to starve for your tax, and are openly against you.
; qstr_The_people_of_{s4}_a|The people of {s4} are very happy for your help in hard times.
; qstr_The_people_of_{s4}_ar|The people of {s4} are angry that you don't care about their problems.
; qstr_The_people_of_{s4}_t|The people of {s4} think that this is bread for today and hunger for tomorrow, but they understand that these things happen.
; qstr_The_witch_leaves_the|The witch leaves the town for an unknown destination.
; qstr_The_witch_appreciate|The witch appreciates your confidence and leaves her old job to worship the old gods openly.
; qstr_The_witch_hunt_costs|The witch-hunt costs some innocent lives, causing unrest among the population.
; qstr_{s4}_is_a_Christian_se|{s4} is a Christian settlement, so in the end, your orders are obeyed.
; qstr_{s4}_is_a_pagan_settle|{s4} is a pagan settlement, so there is much anger when the tree is felled.
; qstr_{s4}_is_a_Christian_set|{s4} is a Christian settlement, and the murder of the missionary and his followers shocks the population. They are terrified of you.
; qstr_{s4}_is_a_pagan_settlem|{s4} is a pagan settlement, and the murder of the missionary and his followers is supported. Soon after, you find out that the missionary is canonized as Saint Cuthberh.
; qstr_The_missionary_and_h|The missionary and his followers leave {s4}, escorted by your men, without much fuss.
; qstr_Your_men_appreciate_|Your men appreciate your concern for their families.
; qstr_Your_men_are_unhappy|Your men are unhappy that you don't take care of their widows.
; qstr_Your_men_are_unhappy_|Your men are unhappy that you don't take care of their widows, but understand you are strapped at the moment.
; qstr_Your_men_are_upset_t|Your men are upset that you won't take care of their widows if they are killed.
; qstr_Your_men_are_happy_to|Your men are happy to hear that you care about their families.
; qstr_Your_men_are_very_ha|Your men are very happy that you protect their families.
; qstr_Your_followers_feel_|Your followers feel that you will protect them at any cost, but the people in {s4} are not very happy with your decision. They criticize you when you leave, generating unfavorable rumors.
; qstr_Your_followers_feel_t|Your followers feel that you do not protect them as they deserve for their services, but the people in {s4} are very happy with your decision. The rumor spreads that you are just.
; qstr_Your_followers_feel_th|Your followers feel that you do not protect them as they deserve for their services. The people in {s4} are not very happy with your decision. They criticize you when you leave, generating unfavorable rumors.
; qstr_To_arms!_Some_citize|To arms! Some citizens have revolted and try to kill you!
; qstr_Your_men_charge_down|Your men charge down the streets, using the sword at the slightest provocation, avenging their fallen fellows. A bloodbath ensues as the people of {s4} flee to their homes to hide.
; qstr_Your_men_are_very_an|Your men are very angry that you have taken no action against the murder of their fellows. Meanwhile, local leaders try to quell the hatred against you in {s4}.
; qstr_Mercilessly_your_men|Mercilessly your men kill anyone that crosses their way, then enter the houses, killing all men over 14 years of age. The fame of your cruelty travels as the wind. Fear seizes all who talk about you. Now {s4} is pacified, but the cost has been very high.
