qstr_Breaking_camp...|Levantando el campamento...
; qstr_The_two_men_move_asi|The two men move aside when you ignore them and continue your way. No one attacks your army. It was all a lie.
; qstr_The_scout_who_has_st|The scout, who has stolen money, spreads the rumor among your men that you are greedy.
; qstr_The_scout_hides_his_|The scout hides his treasure without anyone else knowing.
; qstr_The_distribution_of_|The distribution of the coins brings happiness to the rest of your men, and they think that you are a fair leader.
; qstr_The_men_head_home_di|The men head home, disappointed.
; qstr_The_farmers_give_you|The farmers give you thanks and promise to name the next one of their children after you.
; qstr_The_farmers_give_you_|The farmers give you thanks. They seem relieved and very happy.
; qstr_The_farmers_thank_yo|The farmers thank you. Perhaps their lord will understand the situation.
; qstr_The_farmers_thank_you|The farmers thank you, although they are not happy with your counsel. It will cost the lives of many of their children next winter.
; qstr_She_thanks_you_and_h|She thanks you and heads for the nearest town.
; qstr_She_thanks_you_profu|She thanks you profusely and heads back to her village, a little weak from the ordeal.
; qstr_The_days_get_longer_|The days get longer and the bony grip of winter loosens. Green leaves crown the trees once more. 
; qstr_The_sun_greets_you_e|The sun greets you early in the morning and sends you to bed at night.
; qstr_As_nature_becomes_a_|As nature becomes a plethora of colours, people replenish their stores and prepare for winter.
; qstr_The_night_steals_fro|The night steals from the day and grows long, while the frost threatens to do away with the weak and the old.
; qstr_Temporary_quarters_a|Temporary quarters are not a good place to hold prisoners. {reg1} prisoners have escaped.
; qstr_You_have_become_a_be|You have become a berserker. When you go berserk, you gain great speed and strength in the heat of battle, but this brutal ferocity turns your vision red. (Use key T to increase your power strike)
; qstr_Your_studies_in_poet|Your studies in poetry and rhetoric have been productive. This newly acquired skill in oratory will increase your leadership in battle as you urge on your men in combat. (Use key T to evoke a war cry)
; qstr_The_exhausting_athle|The exhausting athletics regimen you have applied to your troops makes them faster and more maneuverable in battle. They show their new confidence by taunting their enemies. (Use key T to evoke a shield taunt)
; qstr_Your_incessant_conce|Your incessant concern about the maintenance of your men's shields and armors makes it harder for the enemy to wound them. They show their new confidence by beating their shields. (Use key T to evoke a shield taunt)
; qstr_{s10}Current_fleet:^|{s10}Current fleet:^{s0}^^
; qstr_{s10}Port_of_{s9}:^{|{s10}Port of {s9}:^{s0}^^
; qstr_{s10}Landed_ships_nex|{s10}Landed ships next to {s9}:^{s0}^^
; qstr_On_this_day_the_fore|On this day, the foreman couldn't even pay the wages, so he paid with produced goods instead.
; qstr_However_on_this_day_|However, on this day you learned something from your work.
; qstr_However_on_this_day_y|However, on this day you achieved a lot and were paid double.
; qstr_However_you_befriend|However, you befriended some workers from {s2}.
; qstr_One_lord_can_disemba|One lord can disembark here with you.
; qstr_{reg1}_lords_can_dis|{reg1} lords can disembark here with you.
; qstr_One_lord_will_lose_t|One lord will lose track of you. He must disembark at the next port and then come find you.
; qstr_{reg1}_lords_will_lo|{reg1} lords will lose track of you. They must disembark at the next port and then come find you.
; qstr_One_lord_can_embark_|One lord can embark here with you.
; qstr_{reg1}_lords_can_emb|{reg1} lords can embark here with you.
; qstr_One_lord_will_lose_tr|One lord will lose track of you. He must embark at the next port and then come find you.
; qstr_{reg1}_lords_will_los|{reg1} lords will lose track of you. They must embark at the next port and then come find you.
; qstr_You_need_to_get_the_p|You need to get the permission of the lord of this place to recruit here.
; qstr_a_lone_boar|a lone boar
; qstr_a_herd_of_{reg6}_boa|a herd of {reg6} boar
; qstr_a_herd_of_{reg6}_wil|a herd of {reg6} wild animals
; qstr_You_successfully_hun|You successfully hunted {reg6} boar.
; qstr_You_have_lost_track_|You have lost track of the animals.
; qstr_Choose_a_Goal^^^^{s1|Choose a Goal^^^^{s1}
; qstr_Congratulations!^^^^|Congratulations!^^^^{s1}
; qstr_You_have_obtained_th|You have obtained the prison keys.
; qstr_You_killed_the_ghost|You killed the ghost
; qstr_You_are_so_tired_you|You are so tired you can barely move a muscle. You can inflict only half damage, and you can't run.
; qstr_You_take_1_damage_fr|You take 1 damage from blood loss.
; qstr_You_have_received_{reg|You have received {reg5} critical damage to your head and will lose vision very soon!
; qstr_You_have_received_{reg5|You have received {reg5} critical damage to your body!
; qstr_You_have_caused_{reg|You have caused {reg5} critical extra damage!
; qstr_You_have_caused_{reg5|You have caused {reg5} critical damage to your enemy from behind!
; qstr_You_have_received_{reg5}|You have received {reg5} critical damage from behind!
; qstr_You_suffer_a_serious|You suffer a serious injury to your face. (-1 charisma)
; qstr_You_suffer_a_serious_|You suffer a serious injury to one of your limbs. (-1 agility)
; qstr_You_suffer_a_serious_i|You suffer a serious injury to your body. (-1 strength)
; qstr_Your_weapon_was_dama|Your weapon was damaged!
; qstr_Your_weapon_broke!|Your weapon broke!
; qstr_Your_{s1}_was_damage|Your {s1} was damaged!
; qstr_Speed_100%|Speed 100%
; qstr_Speed_400%|Speed 400%
; qstr_Speed_0_for_AI_agent|Speed 0 for AI agents
; qstr_{s33}_changes_weapon|{s33} changes weapons
; qstr_We_lost_a_quarter_of|We lost a quarter of our troops in a very short time. The hearts of our troops are filled with fear.
; qstr_Half_of_our_army_has|Half of our army has fallen within a very short time. The troops panic!
; qstr_The_enemy_lost_a_qua|The enemy lost a quarter of his troops in a very short time. The hearts of his troops are filled with fear.
; qstr_Half_of_the_enemy_ar|Half of the enemy army has fallen within a very short time. His troops panic.
; qstr_You_fall_and_your_tr|You fall and your troops panic!
; qstr_Our_side_lost_a_lead|Our side lost a leader. Our troops panic!
; qstr_The_enemy_lost_a_lea|The enemy lost a leader. Their troops panic!
; qstr_You_call_your_horse.|You call your horse...
; qstr__{reg3}| {reg3}
; qstr_You_have_fallen.__Pr|You have fallen. (Press tab key to leave)
; qstr_Scout_report:_We_ve_|Scout report: We've reached an ancient monument -- rows of stones -- but the real obstacle is the enemy lined up beyond the brook.^^You reply: Rows of stones, you say? Let us make them tombstones for the enemy, then!
; qstr_Scout_report:_A_bog_|Scout report: A bog lies before us, so we must be wary. Stay on the path!^^A man tugs on your sleeve: What is that in the trees up ahead? Evil lurks here.
; qstr_While_exploring_an_a|While exploring an abandoned Roman fort, the scout informs you: Commander, we cannot linger here much longer. The enemy is spotted behind the hill. What are your orders?
; qstr_Stretched_out_before|Stretched out before you as far as the eye can see stand the remains of a once great wall. The enemy has taken up position just on the other side.^^A witty person next to you mutters: Let's hope it will protect us better than it did the Romans.
