str_yes|Sí.
; str_standard_viking16|standard viking16
; str_standard_viking17|standard viking17
; str_standard_viking18|standard viking18
; str_standard_viking19|standard viking19
; str_standard_viking20|standard viking20
; str_standard_viking21|standard viking21
; str_standard_viking201|standard viking201
; str_standard_viking202|standard viking202
; str_standard_viking203|standard viking203
; str_standard_viking204|standard viking204
; str_standard_viking205|standard viking205
; str_standard_viking206|standard viking206
; str_standard_viking207|standard viking207
; str_standard_viking208|standard viking208
; str_standard_viking209|standard viking209
; str_standard_viking210|standard viking210
; str_standard_viking211|standard viking211
; str_standard_viking212|standard viking212
; str_standard_viking213|standard viking213
; str_standard_viking214|standard viking214
; str_standard_viking215|standard viking215
; str_standard_viking216|standard viking216
; str_standard_kingdom_a|standard kingdom a
; str_standard_kingdom_b|standard kingdom b
; str_standard_kingdom_c|standard kingdom c
; str_standard_kingdom_d|standard kingdom d
; str_standard_kingdom_e|standard kingdom e
; str_standard_kingdom_f|standard kingdom f
; str_standard_kingdom_g|standard kingdom g
; str_standard_kingdom_h|standard kingdom h
; str_standard_kingdom_i|standard kingdom i
; str_standard_kingdom_j|standard kingdom j
; str_standard_kingdom_k|standard kingdom k
; str_standard_kingdom_l|standard kingdom l
; str_standard_kingdom_ll|standard kingdom ll
; str_standard_kingdom_m|standard kingdom m
; str_standard_kingdom_n|standard kingdom n
; str_standard_kingdom_o|standard kingdom o
; str_standard_kingdom_p|standard kingdom p
; str_standard_kingdom_q|standard kingdom q
; str_standard_kingdom_r|standard kingdom r
; str_standard_kingdom_s|standard kingdom s
; str_standard_kingdom_t|standard kingdom t
; str_standard_default|standard extra207
; str_multi_scene_coast|Coast
; str_multi_scene_fjord|Fjord
; str_multi_scene_islands|Islands
; str_set_goal_custom|my own
; str_set_goal_raider|Infamous Raider
; str_set_goal_warrior|Famous Warrior
; str_set_goal_lord|Powerful Lord
; str_set_goal_king|Strong King
; str_set_goal_expand|Stable Kingdom
; str_set_goal_custom_hint|You have chosen your own path.
; str_set_goal_raider_hint|Raid towns. Hunt down villagers.^No one will be safe from you.^Use fast ships to travel to distant lands^and your refuge to have a safe home.
; str_set_goal_warrior_hint|You wish to be known as a great warrior.^Fight in tournaments. Protect villagers.^Attack bandits and escort caravans.^You will find plenty of work in towns^and villages, but never forget that your^glory is born on the fields of battle.
; str_set_goal_lord_hint|The common life is not for you.^You wish to become a nobleman,^lead great armies and to be known^as lord and master of your own^lands.
; str_set_goal_king_hint|There is no limit to your ambitions.^Fight for glory, power and gold.^You will make many enemies^and must be ready to face threats^from all four corners of the land!
; str_set_goal_expand_hint|A small fort on a hill is not enough^for you. You desire to be known as the^High King. Sharpen your sword and gather^your troops, for war is coming!
; str_view_goal_hint_renown|Renown: you desire fame above all.^Win battles and competitions. Complete^quests. As your renown grows, you will^be able to command more troops,^gain the respect of the nobility^and hire better mercenaries!^
; str_view_goal_hint_reputation|Reputation: be a hero or a villain.^Your actions in the world will influence^how people see you. It will influence your^relation with other factions and even your^chances of marriage.^
; str_view_goal_hint_army|Army: you wish to balance your^troops. Better troops are also more^expensive to train and keep. Try to^form a army with 25% heavies (high^level units).^
; str_view_goal_hint_marry|Marriage brings the possibility^of feasts, competitions and a^extra helpful hand with kingdom management.^It will also boost your right to rule!^
; str_view_goal_hint_right_to_rule|Right to rule is very important for^kings. It will influence the way other^factions will see you and your diplomatic^relations.^
; str_view_goal_hint_wealth|Wealth: war is expensive. Wages, food,^training, new equipment, healers, wine...^be ready for it!^
; str_set_goal_trigger_new_game|A new world full of adventure awaits you!^^If this is your first time playing^Viking Conquest Sandbox^then check out the SET A GOAL presentation^to learn more about the game^and to see what you can do next!^^(Open Character Report,^Statistics, Choose a Goal)
; str_set_goal_already_completed|(You already completed this goal!)
; str_set_goal_you_are_a_noble|(You are a noble or mercenary, and^you can't abandon your oath!)
; str_set_goal_open_button_label|Choose a Goal
; str_set_goal_open_button_label2|View your Goal
; str_set_goal_complete_goal|You have achieved your goal!^^No task was too big for you!^^^Rejoice in your accomplishment^and get ready for what comes next!
; str_set_goal_half_way_there|You still have many tasks to complete your goal!
; str_set_goal_almost_there|You are very close to completing your goal!
; str_set_goal_custom_reward|Custom goal completed: no special rewards!
; str_set_goal_raider_reward|Raider goal completed: mercenary troops have joined you!
; str_set_goal_warrior_reward|Warrior goal completed: your skill with a blade has improved!
; str_set_goal_lord_reward|Lord goal completed: friendly lords of your faction are impressed with you, a {reg0?gothi:priest} has joined your warband and you have won a cow that will let our men make some delicious butter!
; str_set_goal_king_reward|King goal completed: mercenary troops have joined you and you have won a special book!
; str_set_goal_expand_reward|Stable Kingdom goal completed: friendly kingdoms are impressed with you and you have won a rare sword!
; str_com_companions|Companions: 
; str_com_view_companions|View Companions
str_com_s0|{s0}
; str_com_debug_1|Char picture for npc = {s0}, id = 
; str_com_debug_2|Click for troop: {s1}, id = 
; str_com_heroes|  Heroes  
; str_com_morale_reg0|{s1}^^Morale: {reg0}
; str_com_relation_reg12|{s1}^^Relation: {reg12}
; str_com_catholic|{s1}^^Religion: Christianity
; str_com_pagan|{s1}^^Religion: Pagan
; str_tactical_controls|Use the keyboard NUMBERS to select a division. Press 0 to select your entire force.^^Use F1-F4 to order selected divisions. Keep the F1 key down to place selected divisions. One may target an enemy division through this mechanism.^^Pressing the ENTER key often initiates an overhead Strategy Camera.^^Pressing the BACKSPACE key often initiates a Battle Command Display with 'radar.'
; str_division_placement|When ONE division is selected, the center of its front rank is placed at the spot indicated.^^When MANY divisions are selected, they are separated and spread out as if the player were standing at the spot indicated.^^One may memorize the placement of selected divisions relative to the player by pressing F2, F7. Default is infantry to the left, cavalry right, and ranged forward.
; str_formations|The Complex Formations on the Battle Menu are:^^- RANKS with best troops up front^- SHIELD WALL, ranks with shields in front and longer weapons in back^- WEDGE with best troops up front^- SQUARE in no particular order^- NO FORMATION^^Even in the last case, the player can make formations up to four lines by ordering Stand Closer enough times.
; str_log_created|A log has been created. Please check the rgl log.txt!
; str_debug_log_print2|{s30}^End of LOG.
; str_print_player_trade|{reg1} goods for {reg2} and {reg3} other items for {reg4}
; str_multi_game_type_desc_10|^Peasants try to defend their home against raiders!^^Villagers have numerical advantage but raiders are much better equipped.^
; str_beginner|Beginner
str_normal|Normal
; str_hardcore|Hardcore
; str_recruitment|Recruitment:
; str_levelling|Levelling:
; str_budget|Budget:
; str_stamina|Stamina:
; str_gear_affects_skills|Gear affects skills:
; str_resting_morale|Rest improves morale:
; str_insane_difficult|Insane difficulty:
; str_gore|Gore:
; str_disable_scenic_menu|Disable scenic menu:
; str_shield_bash|Shield bash:
; str_disable_complex_formations|Disable complex formations:
; str_have_formations_face_enemy|Auto turn army to face enemy:
; str_players_enemies_only_attack|Player's enemies only attack:
; str_music_in_battles|Replace music in battles:
; str_damage_to_player|Player damage:
; str_damage_to_friends|Friends damage:
str_combat_ai|IA de combate:
str_campaign_ai|IA de la campaña:
; str_movement_and_combat_speed|Tactical Speed:
; str_battle_size|Battle size:
; str_difficulty_setting|Difficulty Setting
; str_realism_feature|Realism Feature
; str_special_setting|Special Setting
; str_formation_feature|Formation Setting
; str_performance_feature|Performance Setting
; str_battle_size_text|Limits the maximum amount of troops on a battlefield at once. If you experience low performance in big battles, you should try to reduce the battle size. A battle size above the engine maximum of 300 could cause problems.^^For additional settings, you can try the Video Options, available in the game's main menu, or accessible during the game by pressing ESC.
; str_this_setting_affects_all|This setting affects the player and all game characters.
; str_game_concepts_tutorial|^^By now, you have some experience with Viking Conquest. If this is your first game, we recommend making yourself familiar with some of the game concepts. You will be directed to a page that presents them now.^^You can always come back to this page on the campaign map. Simply click the 'Notes' button and from there the 'Game concepts' button.
; str_wounds|Wounds:
; str_blood_loss|Blood loss:
; str_quantity_bandit_parties|Bandit Parties:
; str_game_difficulty_warning|Game Difficulty Warning
; str_game_difficulty_warning_desc|At the current Campaign AI level, {s1} of the bandit parties will be stronger than the player's upon spawning. They will have up to {reg1} troops.^^Reset that level from the ESC options menu if desired. Deserters will not be affected, and sea based bandits always start with a minimum of one ship (30 men).
; str_player_division|Player division:
; str_poll_cooldown|Delay between polls (seconds)
; str_polls_disabled_for_reg1|Polls are disabled for {reg1} seconds.
; str_poll_cooldown_is_now_reg1|Delay between polls is now set to {reg1} seconds.
; str_poll_change_gametype|{s0} started a poll to change game type to {s1}.
; str_poll_to_change_gametype|Poll to change game type to {s1}: 1 = Accept, 2 = Decline
