qstr_Breaking_camp...|Stai smantellando l'accampamento...
; qstr_{s3}_is_in_danger._S|{s3} is in danger. Save the village from Sven Bull Neck's assault, before the village is destroyed! You will need a good number of troops to repel the Viking attack!
qstr_Return_to_{s3}_and_i|Ritorna a {s3} e interroga il prigioniero.
qstr_Return_when_you_have|Ritorna quando si disporrai di cinquantacinque o meno uomini nel vostro gruppo.
; qstr_You_have_saved_{s3}.|You have saved {s3}. Perhaps now is a good time to ask {s9} about his involvement with Sven.
; qstr_{s9}_did_not_come_to|{s9} did not come to the aid of {s3}. Thonkrik suspects that the jarl is in an alliance with Sven Bull Neck. Maybe it's time to talk to him, or you can go directly to the king to tell him about {s9}'s betrayal.
qstr_Loot_Thiaderd_s_camp|Saccheggia il campo di Thiaderd.
; qstr_Ahead_in_a_small_cam|Ahead, in a small camp, there are some women and children, the families of the rebels. They look scared, not knowing where to flee.^^Among these people are the wife and son of Thiaderd. It is a difficult choice. Maybe they will seek revenge in the future, but they aren't warriors.
; qstr_A_small_camp_stands_|A small camp stands next to a river. You see women and children between the cottages, watching warily. A number of men, few in number but with an aggressive demeanor, come to meet you. A very tall man leads them.
qstr_Note_2:_You_chose_to|Nota 2: Hai scelto di uccidere la moglie e il figlio di Thiaderd.
qstr_Thiaderd_is_dead._Yo|Thiaderd è morto. Hai completato la tua missione.
qstr_Note_2:_You_chose_to_|Nota 2: Hai scelto di rispettare la vita della moglie del figlio di Thiaderd.
qstr_Note_2:_You_chose_to_l|Nota 2: Hai scelto di lasciare in vita la moglie  e il figlio di Thiaderd.
qstr_You_need_room_for_at|Hai bisogno di arruolare almeno un altro uomo nella tua compagnia prima di continuare!
; qstr_^^In_the_middle_of_t|^^In the middle of the fort, you see some prisoners prepared for sale. Could your mother be among them?
; qstr_Note_2:_In_Sven_s_hi|Note 2: In Sven's hideout, you found Bodo, one of the travelers from the Woden Ric. Thanks to Bodo, you learn the fate of Woden Ric after the Viking attack. Your mother is still alive, thanks to the item Bodo gave her, but the item made her very valuable to the Vikings.
qstr_Return_when_you_have_|Ritorna quando si disporrai di trenta o meno uomini nela tua compagnia.
qstr_You_think_of_Thora_w|Pensi a Thora, a cui fai visita ogni notte, una bella donna che potrebbe dare al mondo molti bambini.
qstr_You_think_of_Thora_wh|Pensi a Thora, a cui Egil fa visita ogni notte. È una bella donna che gode della protezione dal padre. Non ha altre preoccupazioni se non essere felice.
qstr_You_think_of_Thora_a|Pensi a Thora, è una bella donna che gode della protezione dal padre. Non ha altre preoccupazioni se non essere felice.
qstr_One_of_the_greatest_|Uno delle più grandi battaglie conosciute tra il West Seaxe e i Danesi è stata combattuta qui. Hai ricordi di quel giorno, perché tu c'eri.
qstr_This_place_destroyed|Questo luogo, distrutto dai tuoi uomini, non è altro che cenere e macerie.
; qstr_Garrison:_{reg5}__li|Garrison: {reg5} (limit: {reg0})^^ Having your men garrison the refuge, like for castles and cities, allows them to rest away from the dangers of road and battle and reduces their maintenance cost.
qstr_You_need_to_hire_a_c|Devi assumere un cuoco prima.
qstr_It_is_night_and_your|E 'notte, il tuo rifugio sembra tranquillo, alcuni uomini montano la guardia mentre altri dormono.
; qstr_Your_garrison_size_e|Your garrison size exceeds the maximum allowed number of soldiers that can be stationed at your refuge. This will produce discontent among men and desertions!
qstr_Garrison_limit:_{reg|Limite della guarnigione: {reg0}
qstr_The_ramshackle_priso|La prigione sgangherata del tuo rifugio non è molto sicura. Il tuo capitano ti suggerisce di non tenere signori nemici qui!
qstr_You_do_not_have_enoug|Non ho abbastanza soldi per pagare la demolizione del tuo rifugio.
qstr_Refuge_demolished!|Rifugio demolito!
qstr_Your_men_think_you_v|I tuoi uomini pensano che il tuo sia stato un gesto onorevole, pagare le spese per il funerarie di Egil, nonostante il fatto che lui ti sia rivoltato contro, ben fatto.
qstr_Note_Egil:_Egil_turn|Nota Egil: Egil si rivolta contro di te quando hai deciso di consegnare la lettera al West Seaxe. Ti ha attaccato e ora dovrai ucciderlo. Visto che era amato da tutti, hai deciso di pagare e di assistere al suo funerale.
qstr_Your_men_think_you_ve|I tuoi uomini pensano che il tuo sia stato un gesto onorevole, pagare le spese per il funerarie di Egil, nonostante il fatto che lui ti sia rivoltato contro, ben fatto.
qstr_Message|Messaggio
qstr_Your_men_cry_for_Egi|I tuoi uomini piangono per il tradimento di Egil e piangono per la sua morte. A molti di loro piaceva; alcuni lo avrebbe voluto come proprio capo.
qstr_Note_Egil:_Egil_turne|Nota Egil: Egil si rivolta contro di te quando hai deciso di consegnare la lettera al West Seaxe. Ti ha attaccato e ora dovrai ucciderlo. Hai permesso loro di seppellirlo.
qstr_Your_men_cry_for_Egil|I tuoi uomini piangono per la morte di Egil, ma obbediscono ai tuoi ordini. Pensano che sei un capo duro che non perdona i traditori.
qstr_Note_Egil:_Egil_turned|Nota Egil: Egil si rivolta contro di te quando hai deciso di consegnare la lettera al West Seaxe. Non hai permesso ai tuoi uomini di seppellirlo.
; qstr_Shortly_after_landin|Shortly after landing, as if he had been watching you, a messenger appears riding towards you. You notice the dark circles under his eyes, as if he went days without sleeping, and his horse seems to be on the verge of exhaustion. Finally, he takes a breath and exclaims:^^
; qstr_{s4}_{playername}_my|{s4}'{playername}, my jarl, Rathbarth Ragnarsson, has dispatched messengers to find you after merchants brought news that you had left Frankia for Englaland. He wants you to join his brother Halfdan in Readingum, as he is leading a final assault on West Seaxe. We advanced from East Engle with a great army and set up a fortified camp at Readingum. We plundered the area, but Aethelred and Aelfred gathered the fyrd in Witan Ceaster and attacked us. Luckily, they were repelled.^^Now the king of West Seaxe, assisted by his brother Aelfred, has retreated west, to Aescesdun, where they gather a huge army to fight us. Your help is needed, as Halfdan wants to go against them before they get more men. We fear that this will be the mother of all battles! If we win, West Seaxe will be ours!^^Jarl Rathbarth told me especially to mention that Sven Bull Neck is with Aelfred and fights in his army.'
; qstr_{s4}_{playername}_my_|{s4}'{playername}, my ealdorman, Aelfred Aethelwulfing, has dispatched messengers to find you after merchants brought news that you had left Frankia for Englaland. He wants you to join him as soon as possible. He is moving around the kingdom to gather an army as the Danish advance against West Seaxe.^^They advanced from East Engle with a great army and set up a fortified camp at Readingum, from where they plundered the area. Our king, Aethelred, and Aelfred gathered the Fyrd in Witan Ceaster and attacked the Danish in Readingum, but they were repelled. Now they are in Aescesdun gathering men and preparing to face the Danish again! God protect us, we will go against the Danish with the entire fyrd! If this fails, West Seaxe will be lost with the rest of Englaland!^^Ealdorman Aelfred told me especially to mention that Sven Bull Neck is with Halfdan and fights in his army.'
qstr_You_met_Orm_the_Blac|Hai sfidato Orm il Nero in duello e lo hai ucciso.
qstr_Your_party_has_gaine|La tua compagnia ha guadagnato morale.
qstr_You_met_{s1}_in_sing|Hai sfidato {s1} in duello e lo hai ucciso.
qstr_This_warrior|Questo guerriero
qstr_The_enemy_party_has_|La compagnia nemica ha perso morale.
qstr_You_met_{s1}_in_singl|Hai sfidato {s1} in duello e hai perso.
qstr_Your_party_has_lost_|La tua compagnia ha perso morale.
; qstr_The_low_morale_of_yo|The low morale of your army has led some men to conspire against you. One of your warriors committed the imprudence of talking too much while you could hear him. Feeling exposed, the warrior has insulted you publicly and has challenged you to a duel for leadership... A duel to the death.
; qstr_The_problems_of_mora|The problems of morale of your army have moved one of your warriors to propose himself a candidate to replace you. He has challenged you to a duel to the death...
; qstr_Morale_is_so_low_a_w|Morale is so low, a warrior insults you when you go near him, accusing you of being a bad leader. Then he challenges you to a duel. The victor occupies your post.
; qstr_The_Assembly_has_tak|The Assembly has taken up your case. You must quickly go to the assembly near {s3}, lest they decide against you.
; qstr_Note_Reginhard:_Regin|Note Reginhard: Reginhard betrayed you before the Assembly, and you had to kill him in a holmgang decreed by the Assembly.
; qstr_Note_Egil:_Reginhard_be|Note Egil: Reginhard betrayed you before the Assembly, but you forgave him. However, Egil did not accept your decision, and you had to kill him in a holmgang by the laws of the Assembly.
; qstr_The_holmgang_is_over|The holmgang is over. It's time to meet Asbjorn in {s3}.
; qstr_You_remember_that_yo|You remember that you need to bring Ragnar's seax for this mission.
; qstr_Before_you_left_for_|Before you left for your trip to Frankia, someone sent a messenger to inform you that someone will meet you at a place called Boar Grove, near {s3}. There you must find the house of the lumberjack.
qstr_Through_the_trees_yo|Attraverso gli alberi, riesci a malapena a vedere la capanna. gli alberi si muovono dolcemente al vento e alcuni uccellini cinguettano felici. Ma non vedi nessuno.
qstr_Through_the_trees_you|Attraverso gli alberi, riesci a malapena a vedere la capanna, è vuota, devi andare incontro a Beda.
qstr_You_arrive_at_a_deep|Arrivi in una profonda foresta.
qstr_Through_the_trees_you_|Attraverso gli alberi, riesci a malapena a vedere la capanna, è ora abbandonata pechè hai ucciso il vecchio eroe che un tempo viveva qui.
qstr_You_stay_hidden_watc|Rimani nascosto, guardando il campo da lontano ed evitando le vedette e le pattuglie dei Sassoni.
qstr_You_stay_hidden_watch|Rimani nascosto, guardando il campo da lontano ed evitando le vedette e le pattuglie dei Danesi.
; qstr_Aelfred_gives_the_or|Aelfred gives the order, and horns call men outside the camp. You follow the brother of the king of West Seaxe outside, where his men have formed the ranks. They are led by officers and waiting.^^There is a tense silence filled with nerves and worry. The Saxon warriors know that the fate of West Seaxe hangs by a thread. If they fall defeated, nothing will keep the Danish from plundering their houses and enslaving their families.
; qstr_Halfdan_gives_the_or|Halfdan gives the order, and horns call men outside the camp. You follow Ragnar's son outside, where his men have formed ranks. They are led by officers and waiting.^^The Danish warriors are animated and some even joke, motivated by the recent victory over their enemies, but all voices fall silent when Halfdan arrives before them.
qstr_West_Seaxe|West Seaxe
qstr_Danish|Danesi
; qstr_You_notice_that_Aelf|You notice that Aelfred is coming towards you. It was he who saved the day with his charge when the Danish tried to gain the hill. Without that improvisation, probably you would all be dead now...
qstr_Halfdan_walks_toward|Halfdan cammina verso di te. È coperto di sangue, ma sorride. Egli sa che senza di te e il tuo esercito, avrebbe perso la battaglia.
qstr_Your_followers_decid|I tuoi seguaci hanno deciso di lasciarti.
qstr_You_chose_to_dispers|Hai deciso di disperdere i tuoi seguaci.
qstr_You_notice_that_a_gr|Noti un gruppo di uomini che si avvicinano. Sono guidati da un uomo molto alto. Costui deve essere Eadric, l'uomo di cui parlava Aelfred.
qstr_You_notice_that_a_gro|Noti un gruppo di uomini che si avvicinano. Sono guidati da un uomo molto alto. Costui deve essere Arnvid, l'uomo di cui parlava Halfdan.
qstr_You_aren_t_ready_to_|Non sei pronto per affrontare Sven. Ritorna quando avrai arruolato nella tua compagnia più di cento uomini.
qstr_The_abbot_of_Finian_n|L'abate di Finian, vicino a {s3} in Eriu, ha chiesto il vostro intervento. A quanto pare, ha una missione importante da offrire. Ti offre 1000 denari solo per comparire al suo cospetto.
qstr_The_other_two_champi|Gli altri due campioni hanno seguito Morrigan fino alla sua tana e hanno inviato un messaggero per informarti dove sono. Attendono il tuo arrivo prima di attaccare. È giunto il momento di andare nella tana di Morrigan.
; qstr_Near_the_end_of_the_|Near the end of the world, where the waves beat the cliffs and the albatrosses nest, there is a little rough valley, barely visible from a distance. A cave is hidden there. You cannot control it; Morrigan song resonates in your head, and you feel your lips move to it. It breathes magic...^^Far from the cave, half hidden by rocks, you can distinguish the two champions with a few men. They seem to have left the bulk of their army hidden elsewhere to avoid attracting attention. They wait.^^But when you take a step toward them, the song intensifies. This time, it is not in your mind... Morrigan's beasts attack you!
; qstr_The_battle_was_tough|The battle was tough and pushed you near the valley. Your men stayed behind, protecting the rear, because they realized numbers are useless in the narrow valley. It is time to seek the support of the other champions and move towards Morrigan before her forces reorganize.
